Player ID,Player Name,Team,Role,battingStyle,bowlingStyle,BowlingType,DOB,Matches
12086,Abhishek Sharma,India,Batting Allrounder,Left Handed Bat,Left-arm orthodox,Spinner,04-09-2000,12
13217,Arshdeep Singh,India,Pacer,Left Handed Bat,Left-arm fast-medium,Pacer,05-02-1999,60
9781,Avesh Khan,India,Pacer,Right Handed Bat,Right-arm fast,Pacer,13-12-1996,25
8808,Axar Patel,India,Bowling Allrounder (Spinner),Left Handed Bat,Left-arm orthodox,Spinner,20-01-1994,66
7836,Deepak Chahar,India,Pacer,Right Handed Bat,Right-arm fast-medium,Pacer,07-08-1992,25
14691,Dhruv Jurel,India,WK-Batsman,Right Handed Bat,,,21-01-2001,2
9647,Hardik Pandya,India,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,Pacer,11-10-1993,109
10276,Ishan Kishan,India,WK-Batsman,Left Handed Bat,,,18-07-1998,32
9311,Jasprit Bumrah,India,Pacer,Right Handed Bat,Right-arm fast,Pacer,06-12-1993,70
10214,Jitesh Sharma,India,WK-Batsman,Right Handed Bat,,,22-10-1993,9
10952,Khaleel Ahmed,India,Pacer,Right Handed Bat,Left-arm fast-medium,Pacer,05-12-1997,18
8733,KL Rahul,India,WK-Batsman,Right Handed Bat,,,18-04-1992,72
8292,Kuldeep Yadav,India,Spinner,Left Handed Bat,Left-arm wrist-spin,Spinner,14-12-1994,40
7909,Mohammed Shami,India,Pacer,Right Handed Bat,Right-arm fast,Pacer,03-09-1990,23
10808,Mohammed Siraj,India,Pacer,Right Handed Bat,Right-arm fast,Pacer,13-03-1994,16
10754,Mukesh Kumar,India,Pacer,Right Handed Bat,Right-arm fast-medium,Pacer,12-10-1993,17
14659,Ravi Bishnoi,India,Spinner,Right Handed Bat,Right-arm legbreak,Spinner,05-09-2000,37
587,Ravindra Jadeja,India,Bowling Allrounder (Spinner),Left Handed Bat,Left-arm orthodox,Spinner,06-12-1988,74
10896,Rinku Singh,India,Batsman,Left Handed Bat,Right-arm offbreak,Spinner,12-10-1997,30
10744,Rishabh Pant,India,WK-Batsman,Left Handed Bat,,,04-10-1997,76
12305,Riyan Parag,India,Batting Allrounder,Right Handed Bat,Right-arm legbreak,Spinner,10-11-2001,9
576,Rohit Sharma,India,Batsman,Right Handed Bat,Right-arm offbreak,Spinner,30-04-1987,159
11813,Ruturaj Gaikwad,India,Batsman,Right Handed Bat,Right-arm offbreak,Spinner,31-01-1997,23
8271,Sanju Samson,India,WK-Batsman,Right Handed Bat,,,11-11-1994,37
8683,Shardul Thakur,India,Bowling Allrounder (Pacer),Right Handed Bat,Right-arm fast-medium,Pacer,16-10-1991,25
11195,Shivam Dube,India,Batting Allrounder,Left Handed Bat,Right-arm medium,Spinner,26-06-1993,33
9428,Shreyas Iyer,India,Batsman,Right Handed Bat,Right-arm legbreak,Spinner,06-12-1994,51
11808,Shubman Gill,India,Batsman,Right Handed Bat,Right-arm offbreak,Spinner,08-09-1999,21
7915,Suryakumar Yadav,India,Batsman,Right Handed Bat,Right-arm offbreak,Spinner,14-09-1990,78
14504,Tilak Varma,India,Batsman,Left Handed Bat,Right-arm offbreak,Spinner,08-11-2002,20
1413,Virat Kohli,India,Batsman,Right Handed Bat,Right-arm medium,Spinner,05-11-1988,125
10945,Washington Sundar,India,Bowling Allrounder (Spinner),Left Handed Bat,Right-arm offbreak,Spinner,05-10-1999,52
13940,Yashasvi Jaiswal,India,Batsman,Left Handed Bat,Right-arm legbreak,Spinner,28-12-2001,23
7910,Yuzvendra Chahal,India,Spinner,Right Handed Bat,Right-arm legbreak,Spinner,28-12-2001,80
